Station_ID,Company,Location,Availability,Charging_Type,Cost_per_kWh,Distance_km,Battery_Type,SOC_%,SOH_%,Cycle_Count,Range_km,Charging_Status,Charging_Speed_kW,Time_Remaining_min,Overcharge_Alert,Temperature_Alert,Tampering_Alert,Energy_Consumption_kWh_per_km,Motor_Usage_%,HVAC_Usage_%,Electronics_Usage_%,Battery_Temp_C,Coolant_Inlet_C,Coolant_Outlet_C,Coolant_Flow_L_min,Fan_Speed_RPM,Ambient_Temp_C,Thermal_Runaway_Risk,Error_Code
ST00024,BP Pulse,Kolkata,Occupied,Fast,25.33,33.73,NMC,0,72,890,97,Fast Charging,187,58,Yes,Normal,No,0.17,40,23,18,33,17,20,2.47,1997,13,High,E303
ST00025,Tata Power,Chennai,Available,Fast,25.9,47.67,Lithium-ion,18,83,1336,375,Plugged In,152,35,Yes,Normal,No,0.135,69,14,19,30,42,29,2.52,2276,27,Low,None
ST00026,Electrify America,Chennai,Occupied,Ordinary,17.48,1.17,LFP,62,91,101,404,Fast Charging,150,120,No,Normal,Yes,0.234,50,11,6,23,17,40,2.03,2611,19,Low,E101
ST00027,Ionity,Mumbai,Occupied,Fast,27.84,2.31,Lithium-ion,52,70,1050,235,Idle,221,111,Yes,Normal,No,0.293,46,15,20,22,31,29,2.11,2583,27,High,None
ST00028,Tata Power,Mumbai,Occupied,Ordinary,15.27,41.16,NMC,72,73,1070,124,Charging,178,50,No,High,Yes,0.235,62,15,13,26,33,20,4.56,1067,44,High,E303
ST00029,Tata Power,Pune,Occupied,Fast,8.71,27.81,LFP,70,98,812,183,Plugged In,228,5,Yes,Normal,No,0.178,46,5,16,19,44,27,4.4,4959,27,Low,None
ST00030,Fortum,Pune,Available,Fast,16.54,15.06,Lithium-ion,72,73,732,119,Idle,124,114,Yes,Normal,Yes,0.262,40,5,16,51,18,48,2.24,3561,31,Low,E101
ST00031,BP Pulse,Bangalore,Available,Ordinary,10.41,37.76,LFP,42,89,910,486,Charging,202,39,Yes,Normal,No,0.218,55,23,14,50,26,22,3.21,1683,21,Medium,E202
ST00032,Tata Power,Kolkata,Available,Fast,13.99,45.66,NMC,65,74,1454,426,Idle,42,107,Yes,High,Yes,0.271,60,11,13,17,43,41,2.82,4646,39,High,E101
ST00033,ChargeZone,Chennai,Occupied,Ordinary,25.09,15.0,LFP,83,73,748,276,Fast Charging,15,90,No,High,Yes,0.227,47,15,20,31,23,41,3.41,3499,12,Low,None
ST00034,Fortum,Hyderabad,Occupied,Ordinary,16.25,45.88,LFP,24,77,1105,360,Fast Charging,204,91,Yes,Low,No,0.143,57,6,15,52,20,26,2.16,2977,43,High,E101
ST00035,Electrify America,Pune,Occupied,Ordinary,6.67,46.26,LFP,2,100,156,487,Fast Charging,173,63,No,High,Yes,0.136,57,14,8,38,43,24,4.91,1141,36,High,E303
ST00036,Electrify America,Bangalore,Occupied,Ordinary,11.44,16.65,Lithium-ion,69,98,856,252,Charging,94,71,No,Low,Yes,0.224,44,15,20,49,29,31,3.45,3528,11,Medium,E202
ST00037,Ionity,Pune,Occupied,Ordinary,12.84,27.15,NMC,34,72,1152,482,Charging,80,81,No,Normal,Yes,0.147,42,15,11,29,28,46,1.95,4112,39,Medium,E404
ST00038,Electrify America,Delhi,Occupied,Ordinary,9.22,9.95,Lithium-ion,90,88,200,244,Charging,8,115,No,High,No,0.222,63,25,16,24,25,22,4.68,4979,15,High,E101
ST00039,Tata Power,Ahmedabad,Available,Fast,10.48,30.85,LFP,93,85,704,109,Charging,211,9,No,Normal,No,0.111,40,20,11,37,33,25,1.15,1023,38,Medium,None
ST00040,ChargeZone,Delhi,Occupied,Ordinary,19.65,30.99,LFP,84,82,1266,112,Charging,164,109,Yes,Low,Yes,0.26,55,15,10,49,22,36,3.67,4085,15,Low,E202
ST00041,Ionity,Bangalore,Available,Fast,29.53,9.93,Lithium-ion,92,71,112,458,Charging,90,66,Yes,High,No,0.285,69,23,11,35,44,41,1.38,1809,21,Medium,E404
ST00042,BP Pulse,Chennai,Occupied,Fast,13.76,5.37,NMC,75,75,920,205,Charging,31,43,Yes,High,Yes,0.145,50,25,19,38,31,33,1.81,4571,15,Medium,E303
ST00043,Ionity,Delhi,Occupied,Ordinary,16.48,31.5,LFP,4,94,971,185,Charging,155,78,No,Normal,Yes,0.174,45,21,7,37,19,30,2.36,3921,42,Low,E303
ST00044,Tata Power,Pune,Occupied,Ordinary,12.19,7.62,LFP,14,88,971,207,Fast Charging,232,84,Yes,High,No,0.116,40,12,11,46,25,48,4.25,2779,45,Medium,E303
ST00045,Ionity,Delhi,Available,Ordinary,12.75,13.12,Lithium-ion,90,97,67,262,Idle,110,8,Yes,High,Yes,0.24,45,25,17,23,23,31,4.48,2925,29,Medium,E101
ST00046,Fortum,Chennai,Available,Ordinary,26.43,26.89,Lithium-ion,47,80,929,305,Plugged In,169,112,No,Low,No,0.185,43,5,7,35,23,22,2.65,3827,35,Low,None
ST00047,Tata Power,Pune,Occupied,Ordinary,21.95,35.5,Lithium-ion,2,95,1491,401,Charging,147,89,No,Normal,No,0.245,67,20,11,28,23,48,4.53,1044,28,Medium,None
ST00048,ChargeZone,Hyderabad,Available,Fast,27.8,19.48,Lithium-ion,13,97,559,147,Plugged In,96,73,Yes,Low,No,0.272,70,8,6,28,16,40,1.83,2272,34,Medium,None
ST00049,ChargeZone,Hyderabad,Occupied,Ordinary,14.24,48.15,LFP,64,70,1123,107,Charging,222,47,No,Low,Yes,0.291,50,12,11,54,39,24,4.16,2075,26,High,E202
ST00050,ChargeZone,Pune,Occupied,Ordinary,22.42,26.7,Lithium-ion,53,95,362,380,Plugged In,183,35,No,Normal,No,0.258,41,25,6,33,16,39,2.02,1471,45,High,E101
ST00051,ChargeZone,Mumbai,Available,Ordinary,28.75,34.54,LFP,5,77,1144,470,Charging,150,82,Yes,Low,Yes,0.104,54,12,13,30,27,25,1.67,2699,33,Low,E303
ST00052,Tata Power,Pune,Available,Fast,25.83,14.38,NMC,11,97,68,319,Fast Charging,191,100,No,Low,Yes,0.277,44,15,7,25,44,49,4.25,2746,24,Low,E404
ST00053,Electrify America,Pune,Available,Fast,7.18,24.79,Lithium-ion,46,97,380,436,Plugged In,153,104,No,Low,No,0.288,47,25,7,42,26,22,4.12,2587,30,Medium,E404
ST00054,Ionity,Delhi,Occupied,Fast,26.85,4.53,LFP,25,99,1483,418,Plugged In,123,6,No,Low,No,0.197,46,9,11,45,31,46,4.47,3018,24,Medium,E303
ST00055,BP Pulse,Mumbai,Available,Fast,24.82,37.68,NMC,37,71,67,487,Plugged In,135,56,Yes,Low,Yes,0.236,54,7,17,40,33,23,3.71,2811,42,Low,E303
ST00056,Fortum,Chennai,Available,Fast,15.58,45.21,NMC,94,91,1049,94,Charging,72,22,Yes,High,Yes,0.196,46,23,20,19,18,38,2.9,1373,23,Low,E101
ST00057,BP Pulse,Mumbai,Occupied,Fast,20.38,13.34,Lithium-ion,66,95,1299,101,Plugged In,159,20,Yes,High,Yes,0.227,63,17,9,25,19,23,3.91,4164,20,Medium,E404
ST00058,Ionity,Hyderabad,Available,Fast,5.94,24.23,Lithium-ion,47,71,1196,374,Charging,107,105,Yes,High,Yes,0.26,51,22,15,23,30,37,2.36,3431,35,Low,E303
ST00059,ChargeZone,Delhi,Available,Ordinary,6.03,2.01,LFP,3,91,871,171,Plugged In,190,94,Yes,High,No,0.299,48,9,6,33,37,41,2.36,1493,24,Low,E303
ST00060,ChargeZone,Mumbai,Occupied,Fast,23.21,48.64,LFP,93,79,474,205,Idle,48,100,Yes,High,Yes,0.128,44,6,11,53,34,50,2.49,1839,38,Medium,E101
ST00061,Ionity,Bangalore,Available,Fast,15.92,28.17,LFP,46,99,936,347,Plugged In,89,66,Yes,High,Yes,0.125,56,16,7,50,21,29,1.98,3449,22,High,E404
ST00062,BP Pulse,Chennai,Available,Ordinary,26.76,14.85,NMC,7,72,1129,236,Charging,68,18,Yes,Low,No,0.129,70,19,20,25,28,33,2.45,1753,23,Medium,E303
ST00063,Tata Power,Bangalore,Available,Ordinary,21.44,42.88,LFP,91,98,897,235,Fast Charging,225,63,No,Low,Yes,0.213,47,23,18,38,20,35,4.42,2095,12,Low,E202
ST00064,ChargeZone,Delhi,Occupied,Ordinary,5.12,3.44,NMC,52,83,784,130,Charging,142,14,No,Normal,No,0.275,63,10,16,38,44,28,1.32,2723,44,Low,E404
ST00065,BP Pulse,Kolkata,Available,Ordinary,8.75,30.21,NMC,89,95,795,165,Idle,64,81,No,High,No,0.237,42,19,12,25,18,28,4.53,4872,18,Low,E202
ST00066,Fortum,Pune,Occupied,Fast,17.03,14.99,LFP,31,92,261,258,Plugged In,160,51,No,High,No,0.205,66,15,9,54,15,40,2.86,3010,27,High,None
ST00067,BP Pulse,Kolkata,Occupied,Ordinary,13.76,43.03,NMC,77,77,814,431,Plugged In,105,70,Yes,High,No,0.103,45,21,11,50,45,41,2.78,4503,41,High,E303
ST00068,Electrify America,Kolkata,Occupied,Ordinary,11.94,45.9,LFP,66,79,1414,205,Idle,46,5,Yes,Low,Yes,0.157,50,11,15,15,25,28,2.3,1230,22,Low,E303
ST00069,Tata Power,Hyderabad,Occupied,Fast,23.22,1.85,LFP,92,76,614,244,Fast Charging,168,76,No,Low,No,0.236,66,7,5,33,15,28,3.57,1964,18,Low,E101
ST00070,BP Pulse,Bangalore,Available,Fast,29.98,29.41,NMC,7,94,1151,176,Plugged In,164,59,No,Low,Yes,0.1,67,9,6,25,40,24,2.58,1046,24,Low,E404
ST00071,ChargeZone,Delhi,Available,Ordinary,16.63,21.43,LFP,57,85,1383,457,Charging,112,17,No,Normal,No,0.254,55,19,10,31,34,28,3.45,1599,23,Low,E202
ST00072,Fortum,Kolkata,Occupied,Ordinary,10.07,42.33,Lithium-ion,23,76,700,495,Fast Charging,202,9,Yes,Low,Yes,0.242,45,5,8,47,42,38,4.95,1467,27,High,E202
ST00073,Tata Power,Mumbai,Available,Ordinary,5.26,27.79,Lithium-ion,9,95,136,393,Charging,51,64,No,High,Yes,0.27,59,14,16,52,37,28,3.45,1754,45,Medium,E303
ST00074,Electrify America,Hyderabad,Available,Fast,5.77,10.9,NMC,52,70,295,456,Plugged In,192,107,No,High,No,0.178,46,14,14,36,34,29,2.69,1663,34,High,E404
ST00075,Electrify America,Kolkata,Occupied,Ordinary,29.0,8.3,LFP,58,71,805,375,Plugged In,215,90,No,High,Yes,0.186,41,24,5,29,17,48,1.07,4075,14,Low,None
ST00076,ChargeZone,Kolkata,Available,Ordinary,25.58,10.77,NMC,37,70,1349,460,Fast Charging,208,77,Yes,High,Yes,0.298,49,20,8,54,32,47,3.45,4825,45,High,E202
ST00077,BP Pulse,Bangalore,Available,Ordinary,29.33,38.45,NMC,60,87,606,331,Fast Charging,140,66,No,High,Yes,0.179,70,20,8,37,25,44,3.89,2313,21,High,E404
ST00078,Ionity,Chennai,Available,Fast,22.13,48.57,Lithium-ion,64,84,305,371,Charging,34,79,No,Low,No,0.153,66,21,17,45,15,30,2.36,2181,17,High,E202
ST00079,ChargeZone,Bangalore,Available,Fast,11.09,19.48,NMC,31,99,381,331,Charging,16,57,No,High,Yes,0.262,58,13,15,43,17,47,1.48,3154,26,High,None
ST00080,Tata Power,Chennai,Available,Fast,8.9,1.0,Lithium-ion,68,75,698,102,Plugged In,179,90,No,Low,No,0.243,63,12,9,40,33,21,4.99,1435,26,Low,E404
ST00081,Fortum,Delhi,Occupied,Fast,13.07,39.05,NMC,8,71,684,136,Idle,241,53,No,Low,No,0.207,51,7,17,53,38,24,4.49,3637,17,High,E202
ST00082,Electrify America,Chennai,Available,Ordinary,26.71,24.55,NMC,85,93,62,247,Plugged In,23,96,No,High,No,0.13,45,21,10,36,33,25,2.32,3755,33,Low,E101
ST00083,ChargeZone,Ahmedabad,Available,Ordinary,15.34,15.38,NMC,45,73,698,260,Fast Charging,45,73,No,Low,Yes,0.15,70,20,9,36,33,50,3.46,2562,14,Medium,E303
ST00084,Fortum,Chennai,Available,Fast,17.48,28.25,Lithium-ion,15,97,1294,295,Idle,186,9,No,Normal,No,0.245,56,6,17,19,34,35,3.18,2638,34,Low,E101
ST00085,BP Pulse,Kolkata,Occupied,Ordinary,13.46,28.38,NMC,46,99,744,68,Plugged In,58,111,Yes,High,No,0.163,63,19,5,21,40,40,3.2,1171,44,Low,E404
ST00086,Tata Power,Mumbai,Occupied,Ordinary,26.54,46.3,NMC,4,84,578,65,Fast Charging,209,91,Yes,Low,No,0.234,49,23,14,33,42,41,4.18,1798,20,Low,E404
ST00087,Ionity,Bangalore,Occupied,Ordinary,18.78,46.85,LFP,94,76,299,56,Idle,248,110,No,Low,No,0.174,66,5,10,43,35,41,2.63,3108,41,Medium,E101
ST00088,Electrify America,Ahmedabad,Available,Ordinary,18.87,46.93,LFP,64,70,1289,358,Idle,187,77,Yes,Normal,No,0.243,54,22,9,46,29,47,3.98,4556,12,Low,E202
ST00089,Tata Power,Pune,Available,Fast,21.44,34.22,Lithium-ion,52,73,604,388,Fast Charging,181,118,No,High,Yes,0.166,69,14,6,38,25,22,2.21,3563,43,Medium,E202
ST00090,Tata Power,Ahmedabad,Occupied,Fast,28.95,44.99,NMC,1,82,841,123,Plugged In,151,118,No,Normal,Yes,0.131,57,8,10,22,21,27,4.57,4069,43,High,E303
ST00091,BP Pulse,Kolkata,Occupied,Ordinary,28.83,0.62,LFP,14,78,1162,225,Charging,223,17,Yes,Normal,Yes,0.201,52,20,7,41,21,26,3.62,3571,32,Low,E202
ST00092,Ionity,Bangalore,Available,Ordinary,9.98,39.91,Lithium-ion,88,82,1375,181,Idle,194,56,Yes,High,Yes,0.258,60,16,14,20,16,44,1.97,1871,13,Medium,E303
ST00093,Electrify America,Kolkata,Available,Ordinary,11.36,18.13,Lithium-ion,72,99,1285,354,Plugged In,30,115,No,Low,Yes,0.175,51,20,13,40,23,45,2.1,1195,43,Medium,E404
ST00094,Tata Power,Kolkata,Available,Fast,28.65,17.78,Lithium-ion,82,98,408,240,Plugged In,116,33,Yes,Normal,Yes,0.122,60,6,15,35,16,44,2.12,1743,43,High,E404
ST00095,ChargeZone,Chennai,Occupied,Ordinary,19.23,13.76,Lithium-ion,71,74,1287,106,Charging,158,50,No,High,Yes,0.272,48,12,5,51,36,39,4.72,1978,26,Medium,E101
ST00096,ChargeZone,Bangalore,Occupied,Ordinary,16.54,12.03,LFP,87,96,999,121,Fast Charging,214,106,Yes,High,No,0.13,51,8,6,29,16,30,1.25,4086,29,Low,E404
ST00097,Tata Power,Bangalore,Available,Fast,14.88,33.73,NMC,20,78,1418,444,Charging,246,52,No,Low,No,0.262,51,18,20,54,29,35,1.29,2154,37,Medium,E202
ST00098,Ionity,Chennai,Occupied,Ordinary,22.65,27.42,Lithium-ion,96,89,1433,67,Plugged In,61,84,Yes,Normal,Yes,0.161,49,11,18,33,19,38,4.32,2258,39,Low,E202
ST00099,Tata Power,Delhi,Occupied,Fast,26.14,38.68,LFP,41,81,64,388,Charging,217,58,Yes,Low,No,0.248,58,24,10,51,30,47,3.48,3920,42,Low,E101
ST00100,Electrify America,Mumbai,Occupied,Fast,26.45,5.41,Lithium-ion,66,96,821,111,Charging,28,40,No,Low,No,0.171,63,23,10,47,35,38,3.59,4263,42,Low,E202
ST00101,BP Pulse,Mumbai,Available,Ordinary,20.82,14.54,Lithium-ion,6,77,543,347,Fast Charging,102,21,No,High,Yes,0.187,41,11,5,35,25,28,3.06,2793,45,Low,E303
ST00102,ChargeZone,Pune,Available,Ordinary,6.57,18.39,Lithium-ion,56,82,1330,385,Idle,173,67,No,High,Yes,0.212,46,22,19,43,17,42,1.11,4149,31,High,None
ST00103,Ionity,Pune,Occupied,Ordinary,5.42,28.6,LFP,97,100,313,121,Idle,248,6,No,Low,No,0.249,50,12,6,26,23,20,1.21,3318,22,Medium,E303
ST00104,Fortum,Ahmedabad,Occupied,Fast,19.35,0.66,Lithium-ion,47,76,1248,97,Charging,55,80,Yes,Normal,Yes,0.142,61,22,17,29,37,41,1.46,2237,16,High,E404
ST00105,Tata Power,Chennai,Occupied,Fast,25.38,18.8,Lithium-ion,14,88,1315,471,Plugged In,234,21,Yes,Low,Yes,0.153,57,20,18,34,43,29,1.28,3995,20,Low,E303
ST00106,Fortum,Pune,Available,Ordinary,25.15,42.1,Lithium-ion,85,79,1332,198,Plugged In,124,32,No,High,No,0.193,57,5,9,52,39,25,1.83,1527,19,Low,E202
ST00107,Tata Power,Chennai,Available,Fast,22.23,35.04,Lithium-ion,67,72,1452,324,Idle,3,73,Yes,Low,Yes,0.169,43,19,18,16,45,28,3.6,3576,22,High,E303
ST00108,BP Pulse,Delhi,Available,Ordinary,16.0,39.02,NMC,5,87,252,297,Charging,161,53,No,High,Yes,0.151,69,17,15,25,17,22,1.34,1378,30,Medium,E303
ST00109,Ionity,Pune,Occupied,Ordinary,11.41,2.33,Lithium-ion,0,95,1342,71,Fast Charging,86,91,Yes,Normal,Yes,0.163,49,6,7,29,39,42,4.6,2124,40,Low,E303
ST00110,Fortum,Pune,Available,Fast,25.64,29.89,Lithium-ion,43,93,1285,169,Charging,153,46,No,Low,Yes,0.188,40,18,11,46,45,49,2.88,3931,45,High,E101
ST00111,Electrify America,Bangalore,Available,Fast,16.37,41.96,LFP,23,87,551,245,Idle,127,60,No,Low,Yes,0.132,41,21,12,54,38,20,2.28,2014,33,Medium,E202
ST00112,BP Pulse,Delhi,Occupied,Ordinary,20.97,38.92,LFP,82,71,679,464,Fast Charging,178,73,Yes,High,Yes,0.103,64,13,16,20,44,50,3.41,1205,35,High,E101
ST00113,Electrify America,Pune,Available,Ordinary,22.0,3.87,LFP,29,95,1254,314,Plugged In,116,42,Yes,High,No,0.211,44,11,10,18,37,22,2.94,1184,31,High,None
ST00114,Tata Power,Mumbai,Occupied,Ordinary,15.94,15.51,NMC,36,82,799,320,Idle,242,99,Yes,Normal,No,0.161,51,13,8,29,31,29,3.18,4400,18,High,None
ST00115,Ionity,Kolkata,Occupied,Ordinary,25.96,20.75,LFP,87,70,380,227,Fast Charging,182,89,Yes,Normal,No,0.227,47,5,14,38,17,24,3.46,3566,16,High,None
ST00116,Ionity,Chennai,Occupied,Ordinary,20.02,9.64,LFP,38,77,988,338,Idle,117,7,Yes,High,No,0.168,41,23,7,48,42,46,3.48,1671,18,Medium,None
ST00117,Ionity,Mumbai,Available,Fast,5.63,4.5,NMC,61,70,902,419,Plugged In,182,91,No,High,Yes,0.281,44,20,11,48,43,33,4.85,1869,31,Low,None
ST00118,ChargeZone,Hyderabad,Available,Ordinary,14.28,27.21,NMC,68,91,1496,269,Fast Charging,18,76,No,Normal,No,0.14,53,23,17,16,45,46,3.85,2097,12,Low,None
ST00119,Fortum,Bangalore,Occupied,Fast,20.97,17.46,NMC,73,96,136,471,Charging,55,60,Yes,High,Yes,0.196,61,9,15,24,42,39,1.17,3540,34,High,E404
ST00120,ChargeZone,Hyderabad,Available,Ordinary,15.77,43.63,LFP,22,97,1052,306,Charging,182,32,Yes,Normal,Yes,0.276,69,25,10,27,30,25,4.05,2524,34,Medium,E404
ST00121,Tata Power,Delhi,Available,Fast,11.84,16.6,Lithium-ion,61,94,127,156,Plugged In,138,18,Yes,Low,Yes,0.16,63,15,5,51,24,46,3.5,1393,35,Medium,E303
ST00122,BP Pulse,Kolkata,Occupied,Fast,23.93,1.14,LFP,51,93,1496,130,Charging,39,61,Yes,Low,No,0.291,67,7,16,27,17,42,2.45,1091,19,Low,None
ST00123,ChargeZone,Hyderabad,Occupied,Ordinary,5.23,31.98,Lithium-ion,84,72,1368,76,Fast Charging,78,39,Yes,Low,No,0.169,65,20,15,41,45,33,4.71,4769,40,High,E303
ST00124,BP Pulse,Pune,Occupied,Ordinary,20.84,19.07,LFP,3,75,849,141,Fast Charging,19,42,Yes,Low,No,0.258,66,15,16,39,41,48,4.81,1203,21,High,E404
ST00125,Tata Power,Ahmedabad,Available,Fast,13.58,47.05,LFP,40,76,696,271,Charging,214,109,Yes,High,Yes,0.268,43,21,12,33,25,27,4.05,4086,14,Low,E202
ST00126,BP Pulse,Delhi,Occupied,Ordinary,6.4,29.86,LFP,89,78,278,181,Idle,77,63,No,Low,No,0.158,54,21,9,28,23,29,3.18,4904,40,High,E404
ST00127,BP Pulse,Ahmedabad,Occupied,Ordinary,25.22,5.36,Lithium-ion,28,70,569,263,Fast Charging,217,114,Yes,High,Yes,0.107,54,24,18,17,36,37,3.96,1940,37,Medium,E101
ST00128,Tata Power,Chennai,Available,Fast,26.72,40.14,LFP,14,80,526,449,Idle,13,17,Yes,Normal,Yes,0.242,43,14,11,21,35,31,2.11,3989,14,High,E404
ST00129,BP Pulse,Mumbai,Occupied,Fast,21.0,38.37,NMC,54,85,1273,447,Idle,199,103,No,High,No,0.276,63,11,19,43,36,30,4.92,2169,26,High,E202
ST00130,Ionity,Delhi,Available,Ordinary,22.14,10.77,NMC,1,91,291,309,Charging,105,39,No,High,No,0.204,53,8,10,55,26,47,1.77,4679,44,Medium,E101
ST00131,Electrify America,Bangalore,Available,Ordinary,8.37,25.82,NMC,12,91,1258,253,Plugged In,236,63,No,Low,No,0.238,43,19,15,21,40,28,3.64,2547,45,Low,E404
ST00132,BP Pulse,Ahmedabad,Available,Fast,29.84,44.13,NMC,39,91,520,358,Charging,36,59,No,Normal,Yes,0.191,42,18,5,43,42,27,4.7,1479,43,Medium,E303
ST00133,ChargeZone,Pune,Occupied,Ordinary,21.47,20.93,LFP,75,77,762,391,Fast Charging,110,5,Yes,High,Yes,0.235,57,13,14,51,43,49,2.73,2560,23,High,E202
ST00134,Tata Power,Mumbai,Available,Ordinary,10.28,47.8,LFP,43,89,1086,453,Charging,60,86,Yes,Normal,Yes,0.214,55,20,13,32,38,40,1.56,1471,22,Medium,E202
ST00135,Fortum,Chennai,Available,Fast,26.4,36.95,NMC,13,93,577,424,Fast Charging,37,26,No,Low,Yes,0.226,62,8,12,33,21,47,1.51,1133,26,Medium,E202
ST00136,Electrify America,Bangalore,Available,Ordinary,18.45,15.24,Lithium-ion,55,85,90,331,Idle,217,40,No,High,No,0.225,47,25,13,43,36,44,3.02,2268,26,Medium,E303
ST00137,Fortum,Bangalore,Available,Ordinary,22.46,11.54,LFP,52,90,1493,216,Idle,170,97,Yes,High,No,0.166,48,19,15,25,24,44,3.09,4529,43,High,None
ST00138,ChargeZone,Delhi,Occupied,Ordinary,15.77,4.15,NMC,97,84,1470,448,Charging,67,29,Yes,Low,Yes,0.138,42,13,5,29,35,39,3.25,4135,10,High,E303
ST00139,Ionity,Bangalore,Occupied,Ordinary,25.26,6.85,LFP,33,77,922,476,Idle,238,109,No,Normal,Yes,0.272,55,20,18,47,32,20,3.64,4104,40,High,E202
